Contrast,A,B,Paired,Parametric,U-val,alternative,p-unc,p-corr,p-adjust,hedges
Living Situation,Alone,Shared housing,False,False,82.0,two-sided,0.3014838584348607,1.0,bonf,-0.4472445172082179
Living Situation,Alone,With family,False,False,176.0,two-sided,0.003098211990018877,0.018589271940113263,bonf,-0.980868210815715
Living Situation,Alone,With partner,False,False,208.0,two-sided,0.40755294620292715,1.0,bonf,-0.26361086498663894
Living Situation,Shared housing,With family,False,False,66.5,two-sided,0.15972022665874286,0.9583213599524572,bonf,-0.6517841434448594
Living Situation,Shared housing,With partner,False,False,75.0,two-sided,0.8843542137159673,1.0,bonf,0.1750476707371466
Living Situation,With family,With partner,False,False,276.5,two-sided,0.09334862283096669,0.5600917369858002,bonf,0.7010470531779024
