Contrast,A,B,Paired,Parametric,U-val,alternative,p-unc,p-corr,p-adjust,hedges
Living Situation,Alone,Shared housing,False,False,70.0,two-sided,0.1281251859443583,0.7687511156661497,bonf,-0.8223515471439858
Living Situation,Alone,With family,False,False,293.0,two-sided,0.5503796166633876,1.0,bonf,-0.3021926725127718
Living Situation,Alone,With partner,False,False,116.5,two-sided,0.0029037916995134716,0.01742275019708083,bonf,-1.0036765504165168
Living Situation,Shared housing,With family,False,False,118.0,two-sided,0.3335838220130384,1.0,bonf,0.4095428393897931
Living Situation,Shared housing,With partner,False,False,70.5,two-sided,0.9548874517694675,1.0,bonf,-0.10038754665180417
Living Situation,With family,With partner,False,False,147.5,two-sided,0.07814850234207736,0.46889101405246414,bonf,-0.5538404717389895
